inst	instrument	respondant	type	pct	plot	label_de
Förderung für Schweizer Innovationsprojekte	Innovationsscheck		radikale	21	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte ohne UP		radikale	25	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Starthilfe für Projekte und Vernetzung	Innovation Booster		radikale	29	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Starthilfe für Projekte und Vernetzung	Innovation Booster		inkrementelle	15	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Begleitung von Start-ups	Start-up Core Coaching		radikale	55	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte mit UP		disruptive	29	disruptiv	Anteil der klar disruptiven Innovationsvorhaben in %
Förderung für Schweizer Innovationsprojekte	Innovationsscheck		disruptive	33	disruptiv	Anteil der klar disruptiven Innovationsvorhaben in %
Begleitung von Start-ups	Start-up Core Coaching		disruptive	65	disruptiv	Anteil der klar disruptiven Innovationsvorhaben in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte mit UP		inkrementelle	25	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Förderung für Schweizer Innovationsprojekte	Innovationsscheck		inkrementelle	27	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Förderung für Schweizer Innovationsprojekte	Innovationsprojekte ohne UP		inkrementelle	11	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
Begleitung von Start-ups	Start-up Core Coaching		inkrementelle	9	inkr_radikal	Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %
