category	type	instrument	respondant	result_type	pct	comment
Erfolg	Innovationsprojekte mit Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	hoher oder sehr hoher Erfolg	0.73	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	eher hoher Erfolg	0.21	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	eher geringer Erfolg	0.06	Projekt
Erfolg	Innovationsprojekte mit Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	kein Erfolg oder geringer Erfolg	0	Projekt
Erfolg	Innovationsschecks	Förderung für Schweizer Innovationsprojekte	Umsetzungspartner
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	hoher oder sehr hoher Erfolg	0.53	Projekt
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	eher hoher Erfolg	0.35	Projekt
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	eher geringer Erfolg	0.12	Projekt
Erfolg	Innovationsprojekte ohne Umsetzungspartner	Förderung für Schweizer Innovationsprojekte	Forschungspartner	kein Erfolg oder geringer Erfolg	0	Projekt
Erfolg	Innovation Booster	Starthilfe für Projekte und Vernetzung	Teilnehmende
Erfolg	Start-up Core Coaching	Begleitung von Start-ups	Start-up	hoher oder sehr hoher Erfolg	0.61	Unterstützung
Erfolg	Start-up Core Coaching	Begleitung von Start-ups	Start-up	eher hoher Erfolg	0.13	Unterstützung
Erfolg	Start-up Core Coaching	Begleitung von Start-ups	Start-up	eher geringer Erfolg	0.17	Unterstützung
Erfolg	Start-up Core Coaching	Begleitung von Start-ups	Start-up	kein Erfolg oder geringer Erfolg	0.09	Unterstützung
